token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
16675,BAJAJ FINSERV LTD.,BAJAJFINSV,BAJAJFINSV-EQ,Ok,02-08-2023 09:15:00,1690947900,1571.05,1572.35,1555.50,1557.50,1560.73,187110,0,187110,0
694,CIPLA LTD,CIPLA,CIPLA-EQ,Ok,02-08-2023 09:15:00,1690947900,1184.80,1184.90,1165.10,1165.15,1174.86,188395,0,188395,0
2277,MRF LTD,MRF,MRF-EQ,Ok,02-08-2023 09:15:00,1690947900,102890.00,103142.70,102783.05,103041.20,103019.16,209,0,209,0
676,EXIDE INDUSTRIES LTD,EXIDEIND,EXIDEIND-EQ,Ok,02-08-2023 09:15:00,1690947900,263.90,265.50,261.70,264.25,263.77,1001700,0,1001700,0
23650,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOTFIN-EQ,Ok,02-08-2023 09:15:00,1690947900,1348.00,1349.35,1340.00,1343.05,1345.41,21143,0,21143,0
14672,NAVIN FLUORINE INT. LTD,NAVINFLUOR,NAVINFLUOR-EQ,Ok,02-08-2023 09:15:00,1690947900,4540.00,4540.00,4471.70,4511.30,4503.27,60872,0,60872,0
11536,TATA CONSULTANCY SERV LT,TCS,TCS-EQ,Ok,02-08-2023 09:15:00,1690947900,3434.00,3442.70,3426.50,3438.55,3434.29,120697,0,120697,0
13538,TECH MAHINDRA LIMITED,TECHM,TECHM-EQ,Ok,02-08-2023 09:15:00,1690947900,1141.85,1142.55,1132.65,1135.60,1137.55,147995,0,147995,0
1964,TRENT LTD,TRENT,TRENT-EQ,Ok,02-08-2023 09:15:00,1690947900,1709.90,1716.60,1690.15,1694.85,1696.32,33487,0,33487,0
8479,TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,Ok,02-08-2023 09:15:00,1690947900,1374.95,1396.00,1368.10,1389.90,1386.34,402713,0,402713,0
11373,BIOCON LIMITED.,BIOCON,BIOCON-EQ,Ok,02-08-2023 09:15:00,1690947900,255.30,256.70,253.60,255.25,255.02,123197,0,123197,0
17963,NESTLE INDIA LIMITED,NESTLEIND,NESTLEIND-EQ,Ok,02-08-2023 09:15:00,1690947900,22689.90,22689.90,22516.40,22536.35,22588.28,2563,0,2563,0
3787,WIPRO LTD,WIPRO,WIPRO-EQ,Ok,02-08-2023 09:15:00,1690947900,405.25,405.90,403.25,403.80,404.63,254012,0,254012,0
