UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
TRENT LTD,TRENT,TRENT-EQ,1964,Ok,25-07-2023 09:15:00,1690256700,4401.00,4401.00,4290.35,4297.80,4317.32,61291,0,61291,0
TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,8479,Ok,25-07-2023 09:15:00,1690256700,1163.95,1164.70,1145.00,1149.00,1154.71,282143,0,282143,0
BIOCON LIMITED.,BIOCON,BIOCON-EQ,11373,Ok,25-07-2023 09:15:00,1690256700,251.65,251.65,247.30,248.00,248.47,442458,0,442458,0
NESTLE INDIA LIMITED,NESTLEIND,NESTLEIND-EQ,17963,Ok,25-07-2023 09:15:00,1690256700,131.15,131.65,130.90,131.50,131.30,255658,0,255658,0
WIPRO LTD,WIPRO,WIPRO-EQ,3787,Ok,25-07-2023 09:15:00,1690256700,172.05,172.45,171.30,172.15,172.10,878131,0,878131,0
NTPC LTD,NTPC,NTPC-EQ,11630,Ok,25-07-2023 09:15:00,1690256700,1069.90,1080.00,1069.85,1079.00,1077.65,34425,0,34425,0
OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY-EQ,20242,Ok,25-07-2023 09:15:00,1690256700,23073.00,23073.00,22890.10,22944.45,22992.98,6029,0,6029,0
OIL AND NATURAL GAS CORP.,ONGC,ONGC-EQ,2475,Ok,25-07-2023 09:15:00,1690256700,405.15,405.15,401.65,403.50,403.01,440207,0,440207,0
CITY UNION BANK LTD,CUB,CUB-EQ,5701,Ok,25-07-2023 09:15:00,1690256700,196.90,197.30,195.90,197.25,196.70,759600,0,759600,0
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,CHAMBLFERT-EQ,637,Ok,25-07-2023 09:15:00,1690256700,2645.20,2647.95,2631.40,2640.00,2639.66,13770,0,13770,0
PETRONET LNG LIMITED,PETRONET,PETRONET-EQ,11351,Ok,25-07-2023 09:15:00,1690256700,270.10,271.65,269.60,271.20,270.96,114699,0,114699,0
PIDILITE INDUSTRIES LTD,PIDILITIND,PIDILITIND-EQ,2664,Ok,25-07-2023 09:15:00,1690256700,308.25,309.35,306.70,308.85,307.91,100914,0,100914,0
PUNJAB NATIONAL BANK,PNB,PNB-EQ,10666,Ok,25-07-2023 09:15:00,1690256700,248.85,249.70,248.25,249.45,249.19,868222,0,868222,0
GRANULES INDIA LIMITED,GRANULES,GRANULES-EQ,11872,Ok,25-07-2023 09:15:00,1690256700,62.40,62.75,62.20,62.70,62.53,5578322,0,5578322,0
