company,symbol,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
PUNJAB NATIONAL BANK,PNB,PNB-EQ,10666,Ok,28-07-2023 09:15:00,1690515900,324.45,326.70,322.50,326.50,324.95,754155,0,782656,0
GRANULES INDIA LIMITED,GRANULES,GRANULES-EQ,11872,Ok,28-07-2023 09:15:00,1690515900,62.45,62.70,62.15,62.40,62.48,6339000,0,6494357,0
POWER GRID CORP. LTD.,POWERGRID,POWERGRID-EQ,14977,Ok,28-07-2023 09:15:00,1690515900,225.15,225.30,224.25,224.95,224.79,58146,0,58717,0
THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM-EQ,2043,Ok,28-07-2023 09:15:00,1690515900,881.15,886.25,880.40,883.40,882.66,12597,0,12700,0
RBL BANK LIMITED,RBLBANK,RBLBANK-EQ,18391,Ok,28-07-2023 09:15:00,1690515900,2511.00,2512.30,2500.95,2505.60,2504.91,693599,0,710092,0
HDFC AMC LIMITED,HDFCAMC,HDFCAMC-EQ,4244,Ok,28-07-2023 09:15:00,1690515900,2452.05,2481.70,2444.80,2480.00,2471.64,48543,0,48866,0
REC LIMITED,RECLTD,RECLTD-EQ,15355,Ok,28-07-2023 09:15:00,1690515900,189.75,190.45,188.00,189.10,189.27,4119021,0,4209913,0
RELIANCE INDUSTRIES LTD,RELIANCE,RELIANCE-EQ,2885,Ok,28-07-2023 09:15:00,1690515900,92.20,92.45,91.80,91.80,92.10,861605,0,887716,0
STEEL AUTHORITY OF INDIA,SAIL,SAIL-EQ,2963,Ok,28-07-2023 09:15:00,1690515900,234.10,239.90,234.05,239.90,237.62,6120261,0,6166207,0
STATE BANK OF INDIA,SBIN,SBIN-EQ,3045,Ok,28-07-2023 09:15:00,1690515900,1825.90,1838.30,1796.00,1797.95,1818.22,135372,0,137247,0
SHREE CEMENT LIMITED,SHREECEM,SHREECEM-EQ,3103,Ok,28-07-2023 09:15:00,1690515900,229.50,229.55,227.90,228.50,228.52,334465,0,340778,0
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,SHRIRAMFIN-EQ,4306,Ok,28-07-2023 09:15:00,1690515900,2174.15,2181.90,2159.35,2177.05,2173.12,46161,0,47318,0
SRF LTD,SRF,SRF-EQ,3273,Ok,28-07-2023 09:15:00,1690515900,24069.85,24069.85,23873.55,23980.25,23990.49,3238,0,3261,0
SUN PHARMACEUTICAL IND L,SUNPHARMA,SUNPHARMA-EQ,3351,Ok,28-07-2023 09:15:00,1690515900,617.00,617.15,614.20,615.70,615.46,790074,0,802814,0
COAL INDIA LTD,COALINDIA,COALINDIA-EQ,20374,Ok,28-07-2023 09:15:00,1690515900,1129.50,1139.85,1123.30,1134.40,1131.87,205699,0,212093,0
SYNGENE INTERNATIONAL LTD,SYNGENE,SYNGENE-EQ,10243,Ok,28-07-2023 09:15:00,1690515900,2573.95,2584.80,2567.05,2584.80,2578.65,56882,0,58950,0
HINDUSTAN UNILEVER LTD.,HINDUNILVR,HINDUNILVR-EQ,1394,Ok,28-07-2023 09:15:00,1690515900,999.75,1010.90,997.45,1004.00,1005.44,213664,0,215486,0
TATA CHEMICALS LTD,TATACHEM,TATACHEM-EQ,3405,Ok,28-07-2023 09:15:00,1690515900,810.00,820.50,809.25,820.50,815.62,187240,0,189472,0
TATA COMMUNICATIONS LTD,TATACOMM,TATACOMM-EQ,3721,Ok,28-07-2023 09:15:00,1690515900,988.80,992.40,982.95,983.35,986.98,743033,0,760339,0
TATA CONSUMER PRODUCT LTD,TATACONSUM,TATACONSUM-EQ,3432,Ok,28-07-2023 09:15:00,1690515900,1736.00,1745.50,1725.60,1726.60,1735.62,231205,0,236886,0
